============================================================
矿机运行日志 - 10.102.0.221
导出时间: 2026-04-17 03:32:21
IP: 10.102.0.221  序列号: MINER-10-102-0-221  型号: Antminer S19 XP
============================================================

[2026-04-17 03:32:21] [SYSTEM_LOG] 矿机后台系统日志（与 Web 界面一致）
2026-04-17T08:06:42.560078Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:06:44.159408Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:06:45.756707Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:06:47.356272Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:06:48.953266Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:06:50.548354Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:06:52.145604Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:06:53.745681Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:06:55.342682Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:06:56.939683Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:06:58.532345Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:07:00.129718Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:07:01.731216Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:07:03.323790Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:07:04.920920Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:07:06.520294Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:07:08.115366Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:07:09.717117Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:07:11.314098Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:07:12.911239Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:07:14.508459Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:07:16.105522Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:07:17.698109Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:07:19.295277Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:07:20.894667Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:07:22.492427Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:07:24.087456Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:07:25.684659Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:07:27.281965Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:07:28.883673Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:07:30.478496Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:07:32.073628Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:07:33.675206Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:07:35.267758Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:07:36.864968Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:07:38.462433Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:07:40.059573Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:07:41.659016Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:07:43.256155Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:07:44.853776Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:07:46.451170Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:07:48.046116Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:07:49.643228Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:07:51.240519Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:07:52.842317Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:07:54.437127Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:07:56.036531Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:07:57.631419Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:07:59.226541Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:08:00.825975Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:08:02.423161Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:08:04.020461Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:08:05.617709Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:08:07.214996Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:08:08.814391Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:08:10.409419Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:08:12.006673Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:08:13.602054Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:08:15.201645Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:08:16.801129Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:08:17.048072Z [INFO] Current temperatures:
-   0: TopLeft: 21.00, TopRight: 21.00, BottomRight: 21.00, BottomLeft: 21.00
-   1: TopLeft: 21.00, TopRight:   NaN, BottomRight:   NaN, BottomLeft: 21.00
-   2: TopLeft: 21.00, TopRight: 21.00, BottomRight: 21.00, BottomLeft: 21.00

Fan status:
[ OK ] (0): FAN4
[ OK ] (1): FAN2
[ OK ] (2): FAN1
[ OK ] (3): FAN3

2026-04-17T08:08:18.398366Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:08:19.993401Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:08:21.593057Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:08:23.185711Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:08:24.787323Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:08:26.379886Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:08:27.977515Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:08:29.579484Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:08:31.174318Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:08:32.769366Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:08:34.366665Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:08:35.968263Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:08:37.563125Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:08:39.162387Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:08:40.759520Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:08:42.356706Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:08:43.949306Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:08:45.546710Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:08:47.148372Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:08:48.740960Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:08:50.340934Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:08:51.938054Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:08:53.535190Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:08:55.134635Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:08:56.731704Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:08:58.326564Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:08:59.925957Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:09:01.523250Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:09:03.115878Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:09:04.712984Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:09:06.312362Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:09:07.909736Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:09:09.509256Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:09:11.102171Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:09:12.703778Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:09:14.300841Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:09:15.897964Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:09:17.495060Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:09:19.092563Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:09:20.689577Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:09:22.284403Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:09:23.883773Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:09:25.480729Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:09:27.073739Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:09:28.673164Z [WARN] Temperature Sensor Read Failed
2026-04-17T08:09:30.270317Z [WARN] Temperature Sensor Read Failed
