============================================================
矿机运行日志 - 10.102.0.200
导出时间: 2026-04-12 02:11:16
IP: 10.102.0.200  序列号: MINER-10-102-0-200  型号: Antminer S19 XP
============================================================

[2026-04-12 02:11:16] [SYSTEM_LOG] 矿机后台系统日志（与 Web 界面一致）
2026-04-12T06:57:18.763110Z [WARN] Temperature Sensor Read Failed
2026-04-12T06:57:18.854556Z [WARN] Temperature Sensor Read Failed
2026-04-12T06:57:20.448493Z [WARN] Temperature Sensor Read Failed
2026-04-12T06:57:20.539885Z [WARN] Temperature Sensor Read Failed
2026-04-12T06:57:22.138299Z [WARN] Temperature Sensor Read Failed
2026-04-12T06:57:22.230118Z [WARN] Temperature Sensor Read Failed
2026-04-12T06:57:23.824259Z [WARN] Temperature Sensor Read Failed
2026-04-12T06:57:23.915863Z [WARN] Temperature Sensor Read Failed
2026-04-12T06:57:25.512051Z [WARN] Temperature Sensor Read Failed
2026-04-12T06:57:25.603311Z [WARN] Temperature Sensor Read Failed
2026-04-12T06:57:27.201946Z [WARN] Temperature Sensor Read Failed
2026-04-12T06:57:27.293148Z [WARN] Temperature Sensor Read Failed
2026-04-12T06:57:28.889732Z [WARN] Temperature Sensor Read Failed
2026-04-12T06:57:28.981000Z [WARN] Temperature Sensor Read Failed
2026-04-12T06:57:30.575032Z [WARN] Temperature Sensor Read Failed
2026-04-12T06:57:30.666528Z [WARN] Temperature Sensor Read Failed
2026-04-12T06:57:32.265390Z [WARN] Temperature Sensor Read Failed
2026-04-12T06:57:32.356743Z [WARN] Temperature Sensor Read Failed
2026-04-12T06:57:33.948552Z [WARN] Temperature Sensor Read Failed
2026-04-12T06:57:34.039988Z [WARN] Temperature Sensor Read Failed
2026-04-12T06:57:35.636566Z [WARN] Temperature Sensor Read Failed
2026-04-12T06:57:35.728155Z [WARN] Temperature Sensor Read Failed
2026-04-12T06:57:37.327056Z [WARN] Temperature Sensor Read Failed
2026-04-12T06:57:37.418255Z [WARN] Temperature Sensor Read Failed
2026-04-12T06:57:39.016929Z [WARN] Temperature Sensor Read Failed
2026-04-12T06:57:39.108400Z [WARN] Temperature Sensor Read Failed
2026-04-12T06:57:40.704496Z [WARN] Temperature Sensor Read Failed
2026-04-12T06:57:40.795881Z [WARN] Temperature Sensor Read Failed
2026-04-12T06:57:42.392123Z [WARN] Temperature Sensor Read Failed
2026-04-12T06:57:42.483318Z [WARN] Temperature Sensor Read Failed
2026-04-12T06:57:44.074853Z [WARN] Temperature Sensor Read Failed
2026-04-12T06:57:44.166270Z [WARN] Temperature Sensor Read Failed
2026-04-12T06:57:45.767065Z [WARN] Temperature Sensor Read Failed
2026-04-12T06:57:45.858266Z [WARN] Temperature Sensor Read Failed
2026-04-12T06:57:47.452298Z [WARN] Temperature Sensor Read Failed
2026-04-12T06:57:47.543659Z [WARN] Temperature Sensor Read Failed
2026-04-12T06:57:49.137597Z [WARN] Temperature Sensor Read Failed
2026-04-12T06:57:49.228987Z [WARN] Temperature Sensor Read Failed
2026-04-12T06:57:50.827307Z [WARN] Temperature Sensor Read Failed
2026-04-12T06:57:50.918739Z [WARN] Temperature Sensor Read Failed
2026-04-12T06:57:52.515068Z [WARN] Temperature Sensor Read Failed
2026-04-12T06:57:52.606310Z [WARN] Temperature Sensor Read Failed
2026-04-12T06:57:54.202714Z [WARN] Temperature Sensor Read Failed
2026-04-12T06:57:54.293948Z [WARN] Temperature Sensor Read Failed
2026-04-12T06:57:55.892568Z [WARN] Temperature Sensor Read Failed
2026-04-12T06:57:55.984932Z [WARN] Temperature Sensor Read Failed
2026-04-12T06:57:57.581247Z [WARN] Temperature Sensor Read Failed
2026-04-12T06:57:57.672765Z [WARN] Temperature Sensor Read Failed
2026-04-12T06:57:59.269060Z [WARN] Temperature Sensor Read Failed
2026-04-12T06:57:59.360382Z [WARN] Temperature Sensor Read Failed
2026-04-12T06:58:00.956831Z [WARN] Temperature Sensor Read Failed
2026-04-12T06:58:01.048221Z [WARN] Temperature Sensor Read Failed
2026-04-12T06:58:02.640305Z [WARN] Temperature Sensor Read Failed
2026-04-12T06:58:02.731675Z [WARN] Temperature Sensor Read Failed
2026-04-12T06:58:04.327889Z [WARN] Temperature Sensor Read Failed
2026-04-12T06:58:04.419097Z [WARN] Temperature Sensor Read Failed
2026-04-12T06:58:06.020474Z [WARN] Temperature Sensor Read Failed
2026-04-12T06:58:06.112976Z [WARN] Temperature Sensor Read Failed
2026-04-12T06:58:07.712396Z [WARN] Temperature Sensor Read Failed
2026-04-12T06:58:07.803777Z [WARN] Temperature Sensor Read Failed
2026-04-12T06:58:09.399770Z [WARN] Temperature Sensor Read Failed
2026-04-12T06:58:09.491186Z [WARN] Temperature Sensor Read Failed
2026-04-12T06:58:11.085014Z [WARN] Temperature Sensor Read Failed
2026-04-12T06:58:11.176308Z [WARN] Temperature Sensor Read Failed
2026-04-12T06:58:12.772456Z [WARN] Temperature Sensor Read Failed
2026-04-12T06:58:12.863795Z [WARN] Temperature Sensor Read Failed
2026-04-12T06:58:14.460001Z [WARN] Temperature Sensor Read Failed
2026-04-12T06:58:14.551425Z [WARN] Temperature Sensor Read Failed
2026-04-12T06:58:16.145407Z [WARN] Temperature Sensor Read Failed
2026-04-12T06:58:16.236838Z [WARN] Temperature Sensor Read Failed
2026-04-12T06:58:17.832982Z [WARN] Temperature Sensor Read Failed
2026-04-12T06:58:17.924369Z [WARN] Temperature Sensor Read Failed
2026-04-12T06:58:19.520449Z [WARN] Temperature Sensor Read Failed
2026-04-12T06:58:19.611924Z [WARN] Temperature Sensor Read Failed
2026-04-12T06:58:21.210320Z [WARN] Temperature Sensor Read Failed
2026-04-12T06:58:21.301796Z [WARN] Temperature Sensor Read Failed
2026-04-12T06:58:22.898078Z [WARN] Temperature Sensor Read Failed
