============================================================
矿机运行日志 - 10.102.0.223
导出时间: 2026-04-12 02:11:19
IP: 10.102.0.223  序列号: MINER-10-102-0-223  型号: Antminer S19 XP
============================================================

[2026-04-12 02:11:19] [SYSTEM_LOG] 矿机后台系统日志（与 Web 界面一致）
2026-04-12T07:05:22.011512Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:23.608607Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:25.208220Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:25.299487Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:25.390998Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:27.016606Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:27.107856Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:27.199579Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:28.792569Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:28.883835Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:28.975148Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:29.066396Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:29.158230Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:29.249605Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:30.841280Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:30.932558Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:31.024308Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:31.115772Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:31.207216Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:31.298622Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:32.890414Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:32.981632Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:33.073060Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:33.164398Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:33.255935Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:33.347492Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:34.939170Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:35.030563Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:35.121898Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:35.213637Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:35.304946Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:35.396318Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:36.987915Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:37.079312Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:37.170851Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:37.262291Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:37.353858Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:37.445232Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:39.036744Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:39.128095Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:39.219541Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:39.310891Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:39.402715Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:39.494181Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:41.085742Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:41.177107Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:41.268954Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:41.360315Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:41.451777Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:41.543056Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:43.134598Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:43.225955Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:43.317400Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:43.408730Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:43.500377Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:43.591677Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:45.183515Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:45.274961Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:45.366546Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:45.457815Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:45.549256Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:45.640831Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:47.233197Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:47.324615Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:47.416083Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:47.507460Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:47.598894Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:47.690301Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:49.281828Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:49.373394Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:49.465158Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:49.556433Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:49.647923Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:49.739354Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:51.330906Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:51.422296Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:51.513871Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:51.605253Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:51.696534Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:51.787757Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:53.380449Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:53.471742Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:53.563508Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:53.654829Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:53.746230Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:53.837593Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:55.429140Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:55.520529Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:55.611990Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:55.703302Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:55.794738Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:55.885944Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:57.478071Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:57.569466Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:57.661093Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:57.752437Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:57.844114Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:57.935522Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:59.527323Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:59.618573Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:59.709974Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:59.801323Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:59.892743Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:05:59.984003Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:01.575516Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:01.666705Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:01.758395Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:01.849600Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:01.940941Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:02.032248Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:03.624246Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:03.715628Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:03.807101Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:03.898549Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:03.990012Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:04.081310Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:05.673230Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:05.764575Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:05.856082Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:05.947439Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:06.039181Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:06.131940Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:07.724217Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:07.815819Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:07.907374Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:07.998585Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:08.090171Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:08.181416Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:09.772959Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:09.864389Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:09.955828Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:10.048395Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:10.139821Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:10.231176Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:11.822759Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:11.914551Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:12.006037Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:12.097476Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:12.189191Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:12.280410Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:13.872325Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:13.963768Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:14.055071Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:14.146769Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:14.238376Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:14.330667Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:15.923213Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:16.014652Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:16.106060Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:16.197320Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:16.288968Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:16.380492Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:17.972058Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:18.063429Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:18.155030Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:18.246563Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:18.338302Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:18.429610Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:20.021160Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:20.112550Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:20.204217Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:20.295591Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:20.387011Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:20.478323Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:22.069879Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:22.161310Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:22.252779Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:22.344255Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:22.435588Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:22.526942Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:24.118601Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:24.209850Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:24.301382Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:24.392741Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:24.484170Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:24.575513Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:26.167108Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:26.258563Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:26.350141Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:26.441520Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:26.532962Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:26.624142Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:28.215672Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:28.307071Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:28.398604Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:28.490204Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:28.581741Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:28.672961Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:30.264606Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:30.355970Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:30.447416Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:30.538918Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:30.630671Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:30.722091Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:32.313771Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:32.405306Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:32.497007Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:32.588432Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:32.679903Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:32.771488Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:34.363077Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:34.454524Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:34.545983Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:34.637241Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:34.728832Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:34.820063Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:36.411706Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:36.503076Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:36.594587Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:36.686048Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:36.777730Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:36.869231Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:38.460866Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:38.552157Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:38.644006Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:38.735413Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:38.827176Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:38.918601Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:40.510623Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:40.602020Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:40.693385Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:40.784698Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:40.876338Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:40.968044Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:42.559877Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:42.651091Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:42.742595Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:42.833998Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:42.925460Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:43.016655Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:44.608275Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:44.699637Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:44.791129Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:44.882573Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:44.974131Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:45.065641Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:46.657207Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:46.748581Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:46.840329Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:46.931694Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:47.023007Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:47.114328Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:48.705910Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:48.797128Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:48.888959Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:48.980190Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:49.071598Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:49.162947Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:50.754518Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:50.845862Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:50.937362Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:51.028577Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:51.120053Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:51.211486Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:52.803039Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:52.894533Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:52.985915Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:53.077243Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:53.168654Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:53.260058Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:54.851626Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:54.942992Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:55.034537Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:55.125872Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:55.217402Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:55.308736Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:56.900311Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:56.991693Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:57.083425Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:57.174662Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:57.266248Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:57.357615Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:58.949311Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:59.040709Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:59.132328Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:59.223878Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:59.315358Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:06:59.407023Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:07:00.127642Z [INFO] Checking available disk space
2026-04-12T07:07:00.998572Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:07:01.089862Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:07:01.181353Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:07:01.272734Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:07:01.364046Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:07:01.455636Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:07:03.047206Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:07:03.138463Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:07:03.229810Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:07:03.321040Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:07:03.412303Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:07:03.503494Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:07:05.095253Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:07:05.186890Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:07:05.278458Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:07:05.369674Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:07:05.461873Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:07:05.554993Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:07:07.146861Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:07:07.238551Z [WARN] Temperature Sensor Read Failed
2026-04-12T07:07:07.329932Z [WARN] Temperature Sensor Read Failed
