============================================================
矿机运行日志 - 10.102.0.162
导出时间: 2026-04-23 00:20:25
IP: 10.102.0.162  序列号: MINER-10-102-0-162  型号: Antminer S19 XP
============================================================

[2026-04-23 00:20:25] [SYSTEM_LOG] 矿机后台系统日志（与 Web 界面一致）
2026-04-23T04:54:25.607447Z [WARN] Temperature Sensor Read Failed
2026-04-23T04:54:27.200295Z [WARN] Temperature Sensor Read Failed
2026-04-23T04:54:28.654046Z [INFO] Checking available disk space
2026-04-23T04:54:28.802620Z [WARN] Temperature Sensor Read Failed
2026-04-23T04:54:30.395338Z [WARN] Temperature Sensor Read Failed
2026-04-23T04:54:31.997449Z [WARN] Temperature Sensor Read Failed
2026-04-23T04:54:33.592581Z [WARN] Temperature Sensor Read Failed
2026-04-23T04:54:35.190051Z [WARN] Temperature Sensor Read Failed
2026-04-23T04:54:36.787748Z [WARN] Temperature Sensor Read Failed
2026-04-23T04:54:38.383080Z [WARN] Temperature Sensor Read Failed
2026-04-23T04:54:39.985431Z [WARN] Temperature Sensor Read Failed
2026-04-23T04:54:41.580488Z [WARN] Temperature Sensor Read Failed
2026-04-23T04:54:43.178102Z [WARN] Temperature Sensor Read Failed
2026-04-23T04:54:44.775572Z [WARN] Temperature Sensor Read Failed
2026-04-23T04:54:46.370975Z [WARN] Temperature Sensor Read Failed
2026-04-23T04:54:47.607292Z [INFO] Shares counter
2026-04-23T04:54:47.970987Z [WARN] Temperature Sensor Read Failed
2026-04-23T04:54:49.570718Z [WARN] Temperature Sensor Read Failed
2026-04-23T04:54:51.168282Z [WARN] Temperature Sensor Read Failed
2026-04-23T04:54:52.763390Z [WARN] Temperature Sensor Read Failed
2026-04-23T04:54:54.363153Z [WARN] Temperature Sensor Read Failed
2026-04-23T04:54:55.960476Z [WARN] Temperature Sensor Read Failed
2026-04-23T04:54:57.553309Z [WARN] Temperature Sensor Read Failed
2026-04-23T04:54:59.150918Z [WARN] Temperature Sensor Read Failed
2026-04-23T04:55:00.748650Z [WARN] Temperature Sensor Read Failed
2026-04-23T04:55:02.350778Z [WARN] Temperature Sensor Read Failed
2026-04-23T04:55:03.946223Z [WARN] Temperature Sensor Read Failed
2026-04-23T04:55:05.543659Z [WARN] Temperature Sensor Read Failed
2026-04-23T04:55:07.141305Z [WARN] Temperature Sensor Read Failed
2026-04-23T04:55:08.739148Z [WARN] Temperature Sensor Read Failed
2026-04-23T04:55:10.339117Z [WARN] Temperature Sensor Read Failed
2026-04-23T04:55:11.931803Z [WARN] Temperature Sensor Read Failed
2026-04-23T04:55:13.533986Z [WARN] Temperature Sensor Read Failed
2026-04-23T04:55:15.126861Z [WARN] Temperature Sensor Read Failed
2026-04-23T04:55:16.729080Z [WARN] Temperature Sensor Read Failed
2026-04-23T04:55:18.321859Z [WARN] Temperature Sensor Read Failed
2026-04-23T04:55:19.924004Z [WARN] Temperature Sensor Read Failed
2026-04-23T04:55:21.519330Z [WARN] Temperature Sensor Read Failed
2026-04-23T04:55:23.114383Z [WARN] Temperature Sensor Read Failed
2026-04-23T04:55:24.714363Z [WARN] Temperature Sensor Read Failed
2026-04-23T04:55:26.314258Z [WARN] Temperature Sensor Read Failed
2026-04-23T04:55:27.909345Z [WARN] Temperature Sensor Read Failed
2026-04-23T04:55:29.507002Z [WARN] Temperature Sensor Read Failed
2026-04-23T04:55:31.102224Z [WARN] Temperature Sensor Read Failed
2026-04-23T04:55:32.704359Z [WARN] Temperature Sensor Read Failed
2026-04-23T04:55:34.297138Z [WARN] Temperature Sensor Read Failed
