============================================================
矿机运行日志 - 10.102.0.221
导出时间: 2026-05-02 05:55:48
IP: 10.102.0.221  序列号: MINER-10-102-0-221  型号: Antminer S19 XP
============================================================

[2026-05-02 05:55:48] [SYSTEM_LOG] 矿机后台系统日志（与 Web 界面一致）
2026-05-02T10:29:31.151491Z [WARN] Temperature Sensor Read Failed
2026-05-02T10:29:32.744252Z [WARN] Temperature Sensor Read Failed
2026-05-02T10:29:34.346015Z [WARN] Temperature Sensor Read Failed
2026-05-02T10:29:35.943277Z [WARN] Temperature Sensor Read Failed
2026-05-02T10:29:37.535899Z [WARN] Temperature Sensor Read Failed
2026-05-02T10:29:39.135558Z [WARN] Temperature Sensor Read Failed
2026-05-02T10:29:40.735046Z [WARN] Temperature Sensor Read Failed
2026-05-02T10:29:42.330350Z [WARN] Temperature Sensor Read Failed
2026-05-02T10:29:43.930029Z [WARN] Temperature Sensor Read Failed
2026-05-02T10:29:45.527027Z [WARN] Temperature Sensor Read Failed
2026-05-02T10:29:47.124155Z [WARN] Temperature Sensor Read Failed
2026-05-02T10:29:48.719080Z [WARN] Temperature Sensor Read Failed
2026-05-02T10:29:50.316182Z [WARN] Temperature Sensor Read Failed
2026-05-02T10:29:51.915714Z [WARN] Temperature Sensor Read Failed
2026-05-02T10:29:53.510478Z [WARN] Temperature Sensor Read Failed
2026-05-02T10:29:55.107659Z [WARN] Temperature Sensor Read Failed
2026-05-02T10:29:56.707331Z [WARN] Temperature Sensor Read Failed
2026-05-02T10:29:58.304371Z [WARN] Temperature Sensor Read Failed
2026-05-02T10:29:59.896960Z [WARN] Temperature Sensor Read Failed
2026-05-02T10:30:01.496260Z [WARN] Temperature Sensor Read Failed
2026-05-02T10:30:03.091414Z [WARN] Temperature Sensor Read Failed
2026-05-02T10:30:04.692999Z [WARN] Temperature Sensor Read Failed
2026-05-02T10:30:06.286330Z [WARN] Temperature Sensor Read Failed
2026-05-02T10:30:07.885848Z [WARN] Temperature Sensor Read Failed
2026-05-02T10:30:09.483016Z [WARN] Temperature Sensor Read Failed
2026-05-02T10:30:11.080221Z [WARN] Temperature Sensor Read Failed
2026-05-02T10:30:12.675281Z [WARN] Temperature Sensor Read Failed
2026-05-02T10:30:14.272431Z [WARN] Temperature Sensor Read Failed
2026-05-02T10:30:15.874128Z [WARN] Temperature Sensor Read Failed
2026-05-02T10:30:17.468978Z [WARN] Temperature Sensor Read Failed
2026-05-02T10:30:18.859534Z [INFO] Current temperatures:
-   0: TopLeft:  7.00, TopRight:  6.00, BottomRight:  6.00, BottomLeft:  7.00
-   1: TopLeft:  7.00, TopRight:   NaN, BottomRight:   NaN, BottomLeft:  7.00
-   2: TopLeft:  7.00, TopRight:  7.00, BottomRight:  7.00, BottomLeft:  7.00

Fan status:
[FAIL] (0): FAN4
[ OK ] (1): FAN2
[FAIL] (2): FAN1
[ OK ] (3): FAN3

2026-05-02T10:30:19.063878Z [WARN] Temperature Sensor Read Failed
2026-05-02T10:30:20.663242Z [WARN] Temperature Sensor Read Failed
2026-05-02T10:30:22.262802Z [WARN] Temperature Sensor Read Failed
2026-05-02T10:30:23.855408Z [WARN] Temperature Sensor Read Failed
2026-05-02T10:30:25.456913Z [WARN] Temperature Sensor Read Failed
2026-05-02T10:30:27.051809Z [WARN] Temperature Sensor Read Failed
