============================================================
矿机运行日志 - 10.102.0.162
导出时间: 2026-04-21 01:44:31
IP: 10.102.0.162  序列号: MINER-10-102-0-162  型号: Antminer S19 XP
============================================================

[2026-04-21 01:44:31] [SYSTEM_LOG] 矿机后台系统日志（与 Web 界面一致）
2026-04-21T06:09:16.962777Z [WARN] Temperature Sensor Read Failed
2026-04-21T06:09:17.229190Z [INFO] Current temperatures:
-   0: TopLeft: 18.00, TopRight:   NaN, BottomRight:   NaN, BottomLeft: 18.00
-   1: TopLeft: 50.00, TopRight: 33.00, BottomRight: 33.00, BottomLeft: 50.00
-   2: TopLeft: 18.00, TopRight: 14.00, BottomRight: 14.00, BottomLeft: 18.00

Fan status:
[ OK ] (0): FAN4
[ OK ] (1): FAN2
[ OK ] (2): FAN1
[ OK ] (3): FAN3

2026-04-21T06:09:18.560386Z [WARN] Temperature Sensor Read Failed
2026-04-21T06:09:20.160470Z [WARN] Temperature Sensor Read Failed
2026-04-21T06:09:21.758310Z [WARN] Temperature Sensor Read Failed
2026-04-21T06:09:23.358207Z [WARN] Temperature Sensor Read Failed
2026-04-21T06:09:24.955554Z [WARN] Temperature Sensor Read Failed
2026-04-21T06:09:26.552775Z [WARN] Temperature Sensor Read Failed
2026-04-21T06:09:28.148011Z [WARN] Temperature Sensor Read Failed
2026-04-21T06:09:29.745608Z [WARN] Temperature Sensor Read Failed
2026-04-21T06:09:31.343162Z [WARN] Temperature Sensor Read Failed
2026-04-21T06:09:32.940643Z [WARN] Temperature Sensor Read Failed
2026-04-21T06:09:34.535935Z [WARN] Temperature Sensor Read Failed
2026-04-21T06:09:36.135754Z [WARN] Temperature Sensor Read Failed
2026-04-21T06:09:37.735743Z [WARN] Temperature Sensor Read Failed
2026-04-21T06:09:39.328525Z [WARN] Temperature Sensor Read Failed
2026-04-21T06:09:40.930510Z [WARN] Temperature Sensor Read Failed
2026-04-21T06:09:42.523332Z [WARN] Temperature Sensor Read Failed
2026-04-21T06:09:44.123367Z [WARN] Temperature Sensor Read Failed
2026-04-21T06:09:45.723542Z [WARN] Temperature Sensor Read Failed
2026-04-21T06:09:47.316241Z [WARN] Temperature Sensor Read Failed
2026-04-21T06:09:48.918291Z [WARN] Temperature Sensor Read Failed
2026-04-21T06:09:50.511062Z [WARN] Temperature Sensor Read Failed
2026-04-21T06:09:52.110995Z [WARN] Temperature Sensor Read Failed
2026-04-21T06:09:53.710901Z [WARN] Temperature Sensor Read Failed
2026-04-21T06:09:55.303598Z [WARN] Temperature Sensor Read Failed
2026-04-21T06:09:56.905816Z [WARN] Temperature Sensor Read Failed
2026-04-21T06:09:58.503405Z [WARN] Temperature Sensor Read Failed
2026-04-21T06:10:00.096121Z [WARN] Temperature Sensor Read Failed
2026-04-21T06:10:01.693572Z [WARN] Temperature Sensor Read Failed
2026-04-21T06:10:02.280845Z [INFO] ASIC board summary, 12.94V:
-   1: 495MHz, Elapsed:   ~1h 46m, Hashing: YES, 5m:  46.90, 15m:  46.85, 1h:  46.84, Nominal:  47.38
2026-04-21T06:10:03.290886Z [WARN] Temperature Sensor Read Failed
2026-04-21T06:10:04.890600Z [WARN] Temperature Sensor Read Failed
2026-04-21T06:10:06.490299Z [WARN] Temperature Sensor Read Failed
2026-04-21T06:10:08.087874Z [WARN] Temperature Sensor Read Failed
2026-04-21T06:10:09.683375Z [WARN] Temperature Sensor Read Failed
2026-04-21T06:10:11.283283Z [WARN] Temperature Sensor Read Failed
2026-04-21T06:10:12.880663Z [WARN] Temperature Sensor Read Failed
2026-04-21T06:10:14.475890Z [WARN] Temperature Sensor Read Failed
