============================================================
矿机运行日志 - 10.102.0.221
导出时间: 2026-04-16 00:58:36
IP: 10.102.0.221  序列号: MINER-10-102-0-221  型号: Antminer S19 XP
============================================================

[2026-04-16 00:58:36] [SYSTEM_LOG] 矿机后台系统日志（与 Web 界面一致）
2026-04-16T05:32:35.028280Z [WARN] Temperature Sensor Read Failed
2026-04-16T05:32:36.630189Z [WARN] Temperature Sensor Read Failed
2026-04-16T05:32:38.222940Z [WARN] Temperature Sensor Read Failed
2026-04-16T05:32:39.822503Z [WARN] Temperature Sensor Read Failed
2026-04-16T05:32:41.422074Z [WARN] Temperature Sensor Read Failed
2026-04-16T05:32:43.016931Z [WARN] Temperature Sensor Read Failed
2026-04-16T05:32:44.614140Z [WARN] Temperature Sensor Read Failed
2026-04-16T05:32:46.209129Z [WARN] Temperature Sensor Read Failed
2026-04-16T05:32:47.810961Z [WARN] Temperature Sensor Read Failed
2026-04-16T05:32:49.096017Z [INFO] Current temperatures:
-   0: TopLeft: 54.00, TopRight: 33.00, BottomRight: 33.00, BottomLeft: 54.00
-   1: TopLeft: 28.00, TopRight:   NaN, BottomRight:   NaN, BottomLeft: 28.00
-   2: TopLeft: 26.00, TopRight: 21.00, BottomRight: 21.00, BottomLeft: 26.00

Fan status:
[FAIL] (0): FAN4
[ OK ] (1): FAN2
[FAIL] (2): FAN1
[ OK ] (3): FAN3

2026-04-16T05:32:49.406006Z [WARN] Temperature Sensor Read Failed
2026-04-16T05:32:51.001126Z [WARN] Temperature Sensor Read Failed
2026-04-16T05:32:52.600704Z [WARN] Temperature Sensor Read Failed
2026-04-16T05:32:54.195806Z [WARN] Temperature Sensor Read Failed
2026-04-16T05:32:55.797653Z [WARN] Temperature Sensor Read Failed
2026-04-16T05:32:57.390452Z [WARN] Temperature Sensor Read Failed
2026-04-16T05:32:58.990082Z [WARN] Temperature Sensor Read Failed
2026-04-16T05:33:00.585157Z [WARN] Temperature Sensor Read Failed
2026-04-16T05:33:01.482320Z [INFO] Shares counter
2026-04-16T05:33:02.187108Z [WARN] Temperature Sensor Read Failed
2026-04-16T05:33:03.779702Z [WARN] Temperature Sensor Read Failed
2026-04-16T05:33:05.379216Z [WARN] Temperature Sensor Read Failed
2026-04-16T05:33:06.976622Z [WARN] Temperature Sensor Read Failed
2026-04-16T05:33:08.573996Z [WARN] Temperature Sensor Read Failed
2026-04-16T05:33:10.173539Z [WARN] Temperature Sensor Read Failed
2026-04-16T05:33:11.771387Z [WARN] Temperature Sensor Read Failed
2026-04-16T05:33:13.366454Z [WARN] Temperature Sensor Read Failed
2026-04-16T05:33:14.963852Z [WARN] Temperature Sensor Read Failed
2026-04-16T05:33:16.561319Z [WARN] Temperature Sensor Read Failed
2026-04-16T05:33:18.156339Z [WARN] Temperature Sensor Read Failed
2026-04-16T05:33:19.758340Z [WARN] Temperature Sensor Read Failed
2026-04-16T05:33:21.353196Z [WARN] Temperature Sensor Read Failed
2026-04-16T05:33:22.950463Z [WARN] Temperature Sensor Read Failed
2026-04-16T05:33:24.545503Z [WARN] Temperature Sensor Read Failed
2026-04-16T05:33:26.142803Z [WARN] Temperature Sensor Read Failed
2026-04-16T05:33:27.742423Z [WARN] Temperature Sensor Read Failed
2026-04-16T05:33:29.341945Z [WARN] Temperature Sensor Read Failed
2026-04-16T05:33:30.936902Z [WARN] Temperature Sensor Read Failed
2026-04-16T05:33:32.536423Z [WARN] Temperature Sensor Read Failed
