============================================================
矿机运行日志 - 10.102.0.200
导出时间: 2026-04-13 03:52:39
IP: 10.102.0.200  序列号: MINER-10-102-0-200  型号: Antminer S19 XP
============================================================

[2026-04-13 03:52:39] [SYSTEM_LOG] 矿机后台系统日志（与 Web 界面一致）
2026-04-13T07:33:35.869363Z [WARN] Temperature Sensor Read Failed
2026-04-13T07:33:37.466695Z [WARN] Temperature Sensor Read Failed
2026-04-13T07:33:39.059477Z [WARN] Temperature Sensor Read Failed
2026-04-13T07:33:40.656954Z [WARN] Temperature Sensor Read Failed
2026-04-13T07:33:42.254320Z [WARN] Temperature Sensor Read Failed
2026-04-13T07:33:43.856565Z [WARN] Temperature Sensor Read Failed
2026-04-13T07:33:45.449510Z [WARN] Temperature Sensor Read Failed
2026-04-13T07:33:47.047237Z [WARN] Temperature Sensor Read Failed
2026-04-13T07:33:48.649230Z [WARN] Temperature Sensor Read Failed
2026-04-13T07:33:50.246648Z [WARN] Temperature Sensor Read Failed
2026-04-13T07:33:51.839474Z [WARN] Temperature Sensor Read Failed
2026-04-13T07:33:53.439487Z [WARN] Temperature Sensor Read Failed
2026-04-13T07:33:55.039509Z [WARN] Temperature Sensor Read Failed
2026-04-13T07:33:56.634915Z [WARN] Temperature Sensor Read Failed
2026-04-13T07:33:58.232439Z [WARN] Temperature Sensor Read Failed
2026-04-13T07:33:59.830171Z [WARN] Temperature Sensor Read Failed
2026-04-13T07:34:01.427736Z [WARN] Temperature Sensor Read Failed
2026-04-13T07:34:03.022973Z [WARN] Temperature Sensor Read Failed
2026-04-13T07:34:04.620727Z [WARN] Temperature Sensor Read Failed
2026-04-13T07:34:05.742685Z [INFO] Current temperatures:
-   0: TopLeft: 25.00, TopRight:   NaN, BottomRight:   NaN, BottomLeft: 25.00
-   1: TopLeft: 52.00, TopRight: 36.00, BottomRight: 36.00, BottomLeft: 52.00
-   2: TopLeft: 26.00, TopRight: 23.00, BottomRight: 23.00, BottomLeft: 26.00

Fan status:
[ OK ] (0): FAN4
[ OK ] (1): FAN2
[ OK ] (2): FAN1
[ OK ] (3): FAN3

2026-04-13T07:34:06.222936Z [WARN] Temperature Sensor Read Failed
2026-04-13T07:34:07.815654Z [WARN] Temperature Sensor Read Failed
2026-04-13T07:34:09.413432Z [WARN] Temperature Sensor Read Failed
2026-04-13T07:34:11.016026Z [WARN] Temperature Sensor Read Failed
2026-04-13T07:34:12.613545Z [WARN] Temperature Sensor Read Failed
2026-04-13T07:34:14.208729Z [WARN] Temperature Sensor Read Failed
2026-04-13T07:34:15.808783Z [WARN] Temperature Sensor Read Failed
2026-04-13T07:34:17.401564Z [WARN] Temperature Sensor Read Failed
2026-04-13T07:34:19.001682Z [WARN] Temperature Sensor Read Failed
2026-04-13T07:34:20.596791Z [WARN] Temperature Sensor Read Failed
2026-04-13T07:34:22.194376Z [WARN] Temperature Sensor Read Failed
2026-04-13T07:34:23.796504Z [WARN] Temperature Sensor Read Failed
2026-04-13T07:34:25.389371Z [WARN] Temperature Sensor Read Failed
2026-04-13T07:34:26.986987Z [WARN] Temperature Sensor Read Failed
2026-04-13T07:34:28.584673Z [WARN] Temperature Sensor Read Failed
2026-04-13T07:34:30.186958Z [WARN] Temperature Sensor Read Failed
