============================================================
矿机运行日志 - 10.102.0.162
导出时间: 2026-04-28 08:47:08
IP: 10.102.0.162  序列号: MINER-10-102-0-162  型号: Antminer S19 XP
============================================================

[2026-04-28 08:47:08] [SYSTEM_LOG] 矿机后台系统日志（与 Web 界面一致）
2026-04-28T12:57:17.556941Z [WARN] Temperature Sensor Read Failed
2026-04-28T12:57:19.154312Z [WARN] Temperature Sensor Read Failed
2026-04-28T12:57:20.747039Z [WARN] Temperature Sensor Read Failed
2026-04-28T12:57:22.344673Z [WARN] Temperature Sensor Read Failed
2026-04-28T12:57:23.946166Z [WARN] Temperature Sensor Read Failed
2026-04-28T12:57:25.541377Z [WARN] Temperature Sensor Read Failed
2026-04-28T12:57:27.138960Z [WARN] Temperature Sensor Read Failed
2026-04-28T12:57:28.736411Z [WARN] Temperature Sensor Read Failed
2026-04-28T12:57:30.339119Z [WARN] Temperature Sensor Read Failed
2026-04-28T12:57:31.934235Z [WARN] Temperature Sensor Read Failed
2026-04-28T12:57:33.531794Z [WARN] Temperature Sensor Read Failed
2026-04-28T12:57:35.129274Z [WARN] Temperature Sensor Read Failed
2026-04-28T12:57:36.724315Z [WARN] Temperature Sensor Read Failed
2026-04-28T12:57:38.321723Z [WARN] Temperature Sensor Read Failed
2026-04-28T12:57:39.921736Z [WARN] Temperature Sensor Read Failed
2026-04-28T12:57:41.521965Z [WARN] Temperature Sensor Read Failed
2026-04-28T12:57:43.116948Z [WARN] Temperature Sensor Read Failed
2026-04-28T12:57:44.717450Z [WARN] Temperature Sensor Read Failed
2026-04-28T12:57:46.310263Z [WARN] Temperature Sensor Read Failed
2026-04-28T12:57:47.907757Z [WARN] Temperature Sensor Read Failed
2026-04-28T12:57:49.507527Z [WARN] Temperature Sensor Read Failed
2026-04-28T12:57:51.104975Z [WARN] Temperature Sensor Read Failed
2026-04-28T12:57:52.700201Z [WARN] Temperature Sensor Read Failed
2026-04-28T12:57:54.300053Z [WARN] Temperature Sensor Read Failed
2026-04-28T12:57:55.897711Z [WARN] Temperature Sensor Read Failed
2026-04-28T12:57:57.495483Z [WARN] Temperature Sensor Read Failed
2026-04-28T12:57:59.092905Z [WARN] Temperature Sensor Read Failed
2026-04-28T12:58:00.688171Z [WARN] Temperature Sensor Read Failed
2026-04-28T12:58:02.287785Z [WARN] Temperature Sensor Read Failed
2026-04-28T12:58:03.885203Z [WARN] Temperature Sensor Read Failed
2026-04-28T12:58:05.482611Z [WARN] Temperature Sensor Read Failed
2026-04-28T12:58:07.077939Z [WARN] Temperature Sensor Read Failed
2026-04-28T12:58:08.675337Z [WARN] Temperature Sensor Read Failed
2026-04-28T12:58:10.272751Z [WARN] Temperature Sensor Read Failed
2026-04-28T12:58:11.870282Z [WARN] Temperature Sensor Read Failed
2026-04-28T12:58:13.472429Z [WARN] Temperature Sensor Read Failed
2026-04-28T12:58:15.069975Z [WARN] Temperature Sensor Read Failed
2026-04-28T12:58:16.662679Z [WARN] Temperature Sensor Read Failed
2026-04-28T12:58:18.264848Z [WARN] Temperature Sensor Read Failed
2026-04-28T12:58:19.859814Z [WARN] Temperature Sensor Read Failed
2026-04-28T12:58:21.454977Z [WARN] Temperature Sensor Read Failed
2026-04-28T12:58:23.057099Z [WARN] Temperature Sensor Read Failed
2026-04-28T12:58:24.654431Z [WARN] Temperature Sensor Read Failed
2026-04-28T12:58:26.251917Z [WARN] Temperature Sensor Read Failed
2026-04-28T12:58:27.844603Z [WARN] Temperature Sensor Read Failed
2026-04-28T12:58:29.442018Z [WARN] Temperature Sensor Read Failed
2026-04-28T12:58:31.041641Z [WARN] Temperature Sensor Read Failed
2026-04-28T12:58:32.636809Z [WARN] Temperature Sensor Read Failed
2026-04-28T12:58:34.234301Z [WARN] Temperature Sensor Read Failed
2026-04-28T12:58:35.834210Z [WARN] Temperature Sensor Read Failed
2026-04-28T12:58:37.429535Z [WARN] Temperature Sensor Read Failed
2026-04-28T12:58:39.027037Z [WARN] Temperature Sensor Read Failed
2026-04-28T12:58:39.438331Z [INFO] Shares counter
2026-04-28T12:58:40.629266Z [WARN] Temperature Sensor Read Failed
2026-04-28T12:58:42.226651Z [WARN] Temperature Sensor Read Failed
2026-04-28T12:58:43.819396Z [WARN] Temperature Sensor Read Failed
2026-04-28T12:58:45.416922Z [WARN] Temperature Sensor Read Failed
