============================================================
矿机运行日志 - 10.102.0.151
导出时间: 2026-03-19 21:46:51
IP: 10.102.0.151  序列号: MINER-10-102-0-151  型号: Antminer S19 XP
============================================================

[2026-03-19 21:46:51] [SYSTEM_LOG] 矿机后台系统日志（与 Web 界面一致）
========== errors（错误） ==========
2026-03-17T08:14:24.077829Z  INFO bosminer::client::stratum_v2: log_message="Connected Stratum V1 to: btc.poolbinance.com:1800"
2026-03-17T08:35:27.970267Z  WARN bosminer_am2_s17::hardware::antminer::psu::i2c: PSU: Command execution failed: PSU: Received reply with invalid checksum (got 0x0046, expected 0x0045)
2026-03-17T08:37:15.709350Z  INFO bosminer_plus_tuner::tune::stages::stage4: Tune/all: Stage 4: Profile tuned at inlet 29.0°C / outlet 48.5°C, current inlet 27.5°C / outlet 49.0°C
2026-03-17T08:37:15.710139Z  INFO bosminer_plus_tuner::tune::experiment: Tune/all: Status: ramping frequency
2026-03-17T08:37:34.346050Z  INFO bosminer_plus_tuner::tune::experiment: Tune/all: Status: measuring performance for 1800 seconds
2026-03-17T08:38:52.373304Z  INFO ii_dns: Host ("bs.poolbinance.com", 3333) resolved by tokio resolver successfully
2026-03-17T08:38:52.391050Z  INFO ii_dns: TcpStream connected to 172.65.217.190:3333
2026-03-17T08:38:52.391627Z  INFO bosminer::client::stratum_v2: log_message="Connected Stratum V1 to: bs.poolbinance.com:3333"
2026-03-17T09:07:35.386963Z  INFO bosminer_plus_tuner::tune::stages::stage4: Tune/all: Stage 4: Profile tuned at inlet 29.0°C / outlet 48.5°C, current inlet 27.5°C / outlet 48.5°C
2026-03-17T09:07:35.387946Z  INFO bosminer_plus_tuner::tune::experiment: Tune/all: Status: ramping frequency
2026-03-17T09:07:54.031622Z  INFO bosminer_plus_tuner::tune::experiment: Tune/all: Status: measuring performance for 1800 seconds
2026-03-17T09:14:27.555627Z  INFO ii_dns: Host ("btc.poolbinance.com", 1800) resolved by tokio resolver successfully
2026-03-17T09:14:27.579032Z  INFO ii_dns: TcpStream connected to 172.65.217.190:1800
2026-03-17T09:14:27.579647Z  INFO bosminer::client::stratum_v2: log_message="Connected Stratum V1 to: btc.poolbinance.com:1800"
2026-03-17T09:22:09.053005Z  WARN bosminer_am2_s17::hardware::antminer::psu::i2c: PSU: Command execution failed: PSU: Received reply with invalid checksum (got 0x0446, expected 0x0046)
