============================================================
矿机运行日志 - 10.102.0.162
导出时间: 2026-04-25 01:45:46
IP: 10.102.0.162  序列号: MINER-10-102-0-162  型号: Antminer S19 XP
============================================================

[2026-04-25 01:45:46] [SYSTEM_LOG] 矿机后台系统日志（与 Web 界面一致）
2026-04-25T06:19:26.415081Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:19:28.007718Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:19:29.607314Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:19:31.204569Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:19:32.799491Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:19:34.396767Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:19:35.996265Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:19:37.595798Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:19:39.188658Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:19:40.700605Z [INFO] Current temperatures:
-   0: TopLeft: 18.00, TopRight:   NaN, BottomRight:   NaN, BottomLeft: 18.00
-   1: TopLeft: 18.00, TopRight: 18.00, BottomRight: 18.00, BottomLeft: 18.00
-   2: TopLeft: 18.00, TopRight: 18.00, BottomRight: 18.00, BottomLeft: 18.00

Fan status:
[ OK ] (0): FAN4
[ OK ] (1): FAN2
[ OK ] (2): FAN1
[ OK ] (3): FAN3

2026-04-25T06:19:40.790473Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:19:42.383485Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:19:43.985354Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:19:45.577941Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:19:47.175216Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:19:48.776981Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:19:50.369625Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:19:51.966771Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:19:53.563875Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:19:55.163403Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:19:56.760665Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:19:58.358032Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:19:59.953069Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:20:01.552791Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:20:03.150249Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:20:04.745357Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:20:06.342523Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:20:07.942093Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:20:09.537099Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:20:11.134381Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:20:12.736128Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:20:14.330989Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:20:15.930619Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:20:17.523486Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:20:19.125445Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:20:20.718368Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:20:22.318213Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:20:23.917604Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:20:25.510528Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:20:27.107771Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:20:28.709700Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:20:30.304596Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:20:31.899455Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:20:33.499117Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:20:35.098633Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:20:36.695735Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:20:38.292830Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:20:39.889884Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:20:41.487065Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:20:43.079624Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:20:44.676926Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:20:46.278950Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:20:47.871559Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:20:49.473353Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:20:51.068269Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:20:52.663239Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:20:54.264912Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:20:55.859779Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:20:57.454787Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:20:59.057265Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:21:00.649954Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:21:02.249559Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:21:03.848972Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:21:05.444477Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:21:07.039454Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:21:08.636853Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:21:10.238617Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:21:11.833632Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:21:12.228039Z [INFO] Checking available disk space
2026-04-25T06:21:13.430878Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:21:15.028131Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:21:16.627586Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:21:18.222610Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:21:19.817561Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:21:21.414664Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:21:23.011840Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:21:24.611440Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:21:26.208700Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:21:27.803722Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:21:29.403138Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:21:30.998335Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:21:32.600156Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:21:34.194964Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:21:35.789909Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:21:37.389775Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:21:38.984793Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:21:40.584692Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:21:42.179747Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:21:43.780261Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:21:45.375718Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:21:46.975156Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:21:48.570291Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:21:50.169792Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:21:51.764767Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:21:53.364366Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:21:54.961834Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:21:56.561446Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:21:58.154029Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:21:59.751497Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:22:01.353229Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:22:02.945845Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:22:04.543072Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:22:06.140422Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:22:07.737836Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:22:09.337378Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:22:10.934755Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:22:12.529697Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:22:14.129713Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:22:15.726515Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:22:17.326256Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:22:18.925610Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:22:20.518403Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:22:22.118312Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:22:23.715834Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:22:25.313342Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:22:26.910876Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:22:28.510967Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:22:30.106033Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:22:31.705540Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:22:33.300417Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:22:34.895406Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:22:36.492620Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:22:38.089901Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:22:39.687507Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:22:41.285029Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:22:42.882438Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:22:44.484309Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:22:46.079211Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:22:47.674418Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:22:49.274450Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:22:50.873953Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:22:52.471380Z [WARN] Temperature Sensor Read Failed
2026-04-25T06:22:54.064009Z [WARN] Temperature Sensor Read Failed
