============================================================
矿机运行日志 - 10.102.0.162
导出时间: 2026-05-03 01:41:37
IP: 10.102.0.162  序列号: MINER-10-102-0-162  型号: Antminer S19 XP
============================================================

[2026-05-03 01:41:37] [SYSTEM_LOG] 矿机后台系统日志（与 Web 界面一致）
2026-05-03T06:15:33.775808Z [WARN] Temperature Sensor Read Failed
2026-05-03T06:15:35.371281Z [WARN] Temperature Sensor Read Failed
2026-05-03T06:15:36.968744Z [WARN] Temperature Sensor Read Failed
2026-05-03T06:15:38.568432Z [WARN] Temperature Sensor Read Failed
2026-05-03T06:15:40.161526Z [WARN] Temperature Sensor Read Failed
2026-05-03T06:15:41.759173Z [WARN] Temperature Sensor Read Failed
2026-05-03T06:15:43.358797Z [WARN] Temperature Sensor Read Failed
2026-05-03T06:15:44.956372Z [WARN] Temperature Sensor Read Failed
2026-05-03T06:15:46.551508Z [WARN] Temperature Sensor Read Failed
2026-05-03T06:15:48.149177Z [WARN] Temperature Sensor Read Failed
2026-05-03T06:15:49.748898Z [WARN] Temperature Sensor Read Failed
2026-05-03T06:15:51.344112Z [WARN] Temperature Sensor Read Failed
2026-05-03T06:15:52.944018Z [WARN] Temperature Sensor Read Failed
2026-05-03T06:15:54.541419Z [WARN] Temperature Sensor Read Failed
2026-05-03T06:15:56.136608Z [WARN] Temperature Sensor Read Failed
2026-05-03T06:15:57.736425Z [WARN] Temperature Sensor Read Failed
2026-05-03T06:15:59.334033Z [WARN] Temperature Sensor Read Failed
2026-05-03T06:16:00.931610Z [WARN] Temperature Sensor Read Failed
2026-05-03T06:16:02.527148Z [WARN] Temperature Sensor Read Failed
2026-05-03T06:16:04.126976Z [WARN] Temperature Sensor Read Failed
2026-05-03T06:16:05.722525Z [WARN] Temperature Sensor Read Failed
2026-05-03T06:16:07.324821Z [WARN] Temperature Sensor Read Failed
2026-05-03T06:16:08.919771Z [WARN] Temperature Sensor Read Failed
2026-05-03T06:16:10.515112Z [WARN] Temperature Sensor Read Failed
2026-05-03T06:16:12.117149Z [WARN] Temperature Sensor Read Failed
2026-05-03T06:16:13.712230Z [WARN] Temperature Sensor Read Failed
2026-05-03T06:16:15.311948Z [WARN] Temperature Sensor Read Failed
2026-05-03T06:16:16.904845Z [WARN] Temperature Sensor Read Failed
2026-05-03T06:16:18.507067Z [WARN] Temperature Sensor Read Failed
2026-05-03T06:16:20.102281Z [WARN] Temperature Sensor Read Failed
2026-05-03T06:16:21.697482Z [WARN] Temperature Sensor Read Failed
2026-05-03T06:16:23.297096Z [WARN] Temperature Sensor Read Failed
2026-05-03T06:16:24.892362Z [WARN] Temperature Sensor Read Failed
2026-05-03T06:16:26.492524Z [WARN] Temperature Sensor Read Failed
2026-05-03T06:16:28.090192Z [WARN] Temperature Sensor Read Failed
2026-05-03T06:16:29.687708Z [WARN] Temperature Sensor Read Failed
2026-05-03T06:16:31.285897Z [WARN] Temperature Sensor Read Failed
2026-05-03T06:16:32.881241Z [WARN] Temperature Sensor Read Failed
2026-05-03T06:16:34.483311Z [WARN] Temperature Sensor Read Failed
2026-05-03T06:16:36.081047Z [WARN] Temperature Sensor Read Failed
2026-05-03T06:16:37.676171Z [WARN] Temperature Sensor Read Failed
2026-05-03T06:16:39.276158Z [WARN] Temperature Sensor Read Failed
2026-05-03T06:16:40.873537Z [WARN] Temperature Sensor Read Failed
2026-05-03T06:16:42.470862Z [WARN] Temperature Sensor Read Failed
2026-05-03T06:16:44.068317Z [WARN] Temperature Sensor Read Failed
2026-05-03T06:16:45.663365Z [WARN] Temperature Sensor Read Failed
2026-05-03T06:16:47.258715Z [WARN] Temperature Sensor Read Failed
2026-05-03T06:16:48.856059Z [WARN] Temperature Sensor Read Failed
2026-05-03T06:16:50.456232Z [WARN] Temperature Sensor Read Failed
2026-05-03T06:16:52.053639Z [WARN] Temperature Sensor Read Failed
2026-05-03T06:16:53.653697Z [WARN] Temperature Sensor Read Failed
2026-05-03T06:16:55.246480Z [WARN] Temperature Sensor Read Failed
2026-05-03T06:16:56.844092Z [WARN] Temperature Sensor Read Failed
2026-05-03T06:16:58.441603Z [WARN] Temperature Sensor Read Failed
2026-05-03T06:17:00.039038Z [WARN] Temperature Sensor Read Failed
2026-05-03T06:17:01.636457Z [WARN] Temperature Sensor Read Failed
2026-05-03T06:17:03.234212Z [WARN] Temperature Sensor Read Failed
2026-05-03T06:17:04.831774Z [WARN] Temperature Sensor Read Failed
2026-05-03T06:17:06.434230Z [WARN] Temperature Sensor Read Failed
2026-05-03T06:17:08.029668Z [WARN] Temperature Sensor Read Failed
2026-05-03T06:17:09.624781Z [WARN] Temperature Sensor Read Failed
2026-05-03T06:17:11.224595Z [WARN] Temperature Sensor Read Failed
2026-05-03T06:17:12.824500Z [WARN] Temperature Sensor Read Failed
2026-05-03T06:17:14.419533Z [WARN] Temperature Sensor Read Failed
2026-05-03T06:17:16.016861Z [WARN] Temperature Sensor Read Failed
2026-05-03T06:17:17.614340Z [WARN] Temperature Sensor Read Failed
2026-05-03T06:17:18.103156Z [INFO] Checking available disk space
2026-05-03T06:17:19.214246Z [WARN] Temperature Sensor Read Failed
