============================================================
矿机运行日志 - 10.102.0.162
导出时间: 2026-04-28 23:10:37
IP: 10.102.0.162  序列号: MINER-10-102-0-162  型号: Antminer S19 XP
============================================================

[2026-04-28 23:10:37] [SYSTEM_LOG] 矿机后台系统日志（与 Web 界面一致）
2026-04-29T03:44:39.345550Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:44:40.940647Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:44:42.540413Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:44:44.136053Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:44:45.735716Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:44:47.333327Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:44:48.933228Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:44:50.528235Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:44:52.127959Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:44:53.722928Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:44:55.322552Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:44:56.649880Z [INFO] Current temperatures:
-   0: TopLeft: 28.00, TopRight:   NaN, BottomRight:   NaN, BottomLeft: 28.00
-   1: TopLeft: 53.00, TopRight: 38.00, BottomRight: 38.00, BottomLeft: 53.00
-   2: TopLeft: 28.00, TopRight: 24.00, BottomRight: 24.00, BottomLeft: 28.00

Fan status:
[ OK ] (0): FAN4
[ OK ] (1): FAN2
[ OK ] (2): FAN1
[ OK ] (3): FAN3

2026-04-29T03:44:56.919906Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:44:58.517254Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:45:00.112366Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:45:01.709661Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:45:03.304885Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:45:04.902276Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:45:06.499822Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:45:08.100103Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:45:09.695441Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:45:11.297422Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:45:12.892556Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:45:14.489844Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:45:16.089653Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:45:17.686943Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:45:19.284120Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:45:20.877023Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:45:22.479116Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:45:24.076689Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:45:25.674384Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:45:27.269379Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:45:28.869128Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:45:30.172753Z [INFO] ASIC board summary, 13.9V:
-   1: 435MHz, Elapsed:    ~2d 4h, Hashing: YES, 5m:  33.28, 15m:  33.29, 1h:  33.29, Nominal:  38.04
2026-04-29T03:45:30.466539Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:45:32.063922Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:45:33.656733Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:45:35.254235Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:45:36.852270Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:45:38.456302Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:45:40.051335Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:45:41.646520Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:45:43.246250Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:45:44.841290Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:45:46.441017Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:45:48.040717Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:45:49.633509Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:45:51.233314Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:45:52.830710Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:45:54.428140Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:45:56.025492Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:45:57.620750Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:45:59.220895Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:46:00.820563Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:46:02.413245Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:46:04.010611Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:46:05.608162Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:46:07.210070Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:46:08.805605Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:46:10.401072Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:46:12.002826Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:46:13.597836Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:46:15.195372Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:46:16.790536Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:46:18.388060Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:46:19.987903Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:46:21.587539Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:46:23.182505Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:46:24.782301Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:46:26.377513Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:46:27.977365Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:46:29.576897Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:46:31.171895Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:46:32.769345Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:46:34.364551Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:46:35.964470Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:46:37.562020Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:46:39.159446Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:46:40.756813Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:46:42.231478Z [INFO] Checking available disk space
2026-04-29T03:46:42.354355Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:46:43.951778Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:46:45.549646Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:46:47.144905Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:46:48.742309Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:46:50.344371Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:46:51.939466Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:46:53.539056Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:46:55.136565Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:46:56.733767Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:46:58.328842Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:46:59.928488Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:47:01.523534Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:47:03.118747Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:47:04.466354Z [INFO] Shares counter
2026-04-29T03:47:04.716259Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:47:06.316171Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:47:07.913861Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:47:09.511385Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:47:11.108800Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:47:12.706286Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:47:14.301376Z [WARN] Temperature Sensor Read Failed
2026-04-29T03:47:15.903470Z [WARN] Temperature Sensor Read Failed
