============================================================
矿机运行日志 - 10.102.0.200
导出时间: 2026-04-15 06:28:37
IP: 10.102.0.200  序列号: MINER-10-102-0-200  型号: Antminer S19 XP
============================================================

[2026-04-15 06:28:37] [SYSTEM_LOG] 矿机后台系统日志（与 Web 界面一致）
2026-04-15T11:02:32.558087Z [WARN] Temperature Sensor Read Failed
2026-04-15T11:02:34.155504Z [WARN] Temperature Sensor Read Failed
2026-04-15T11:02:35.748432Z [WARN] Temperature Sensor Read Failed
2026-04-15T11:02:37.345949Z [WARN] Temperature Sensor Read Failed
2026-04-15T11:02:38.948204Z [WARN] Temperature Sensor Read Failed
2026-04-15T11:02:40.543354Z [WARN] Temperature Sensor Read Failed
2026-04-15T11:02:42.138624Z [WARN] Temperature Sensor Read Failed
2026-04-15T11:02:43.738918Z [WARN] Temperature Sensor Read Failed
2026-04-15T11:02:45.336515Z [WARN] Temperature Sensor Read Failed
2026-04-15T11:02:46.936672Z [WARN] Temperature Sensor Read Failed
2026-04-15T11:02:48.534555Z [WARN] Temperature Sensor Read Failed
2026-04-15T11:02:50.132342Z [WARN] Temperature Sensor Read Failed
2026-04-15T11:02:51.730046Z [WARN] Temperature Sensor Read Failed
2026-04-15T11:02:53.327538Z [WARN] Temperature Sensor Read Failed
2026-04-15T11:02:54.927503Z [WARN] Temperature Sensor Read Failed
2026-04-15T11:02:56.527776Z [WARN] Temperature Sensor Read Failed
2026-04-15T11:02:58.120635Z [WARN] Temperature Sensor Read Failed
2026-04-15T11:02:59.720391Z [WARN] Temperature Sensor Read Failed
2026-04-15T11:03:01.315578Z [WARN] Temperature Sensor Read Failed
2026-04-15T11:03:02.918148Z [WARN] Temperature Sensor Read Failed
2026-04-15T11:03:04.513315Z [WARN] Temperature Sensor Read Failed
2026-04-15T11:03:06.110802Z [WARN] Temperature Sensor Read Failed
2026-04-15T11:03:07.711174Z [WARN] Temperature Sensor Read Failed
2026-04-15T11:03:09.308863Z [WARN] Temperature Sensor Read Failed
2026-04-15T11:03:10.906374Z [WARN] Temperature Sensor Read Failed
