IP,状态,矿机类型,工作模式,实时算力,平均算力,温度,风扇转速,启动时间,矿池1,矿机名1,矿池2,矿机名2,矿池3,矿机名3,固件版本,软件版本,硬件版本,网络类型,MAC地址
10.102.1.73,成功,Antminer S19 XP (BOS),低功耗模式,0.00 TH/s,0.00 TH/s,37.00° / 37.00° / 37.00°,1079 / 989 / 1019 / 1019,1天 19小时 27分 29秒 ,sha256.poolbinance.com:443,NCATX.041,btc.poolbinance.com:1800,NCATX.041,bs.poolbinance.com:3333,NCATX.041,2026-04-14-0-912d084c-26.04-plus,BOSer boser-buildroot 0.1.0-912d084c,,DHCP,02:6e:10:f2:c5:7f
10.102.1.67,成功,Antminer S19 XP (BOS),低功耗模式,0.00 TH/s,0.00 TH/s,37.00° / 37.00° / 37.00°,1049 / 989 / 1019 / 1019,1天 19小时 27分 29秒 ,sha256.poolbinance.com:443,NCATX.042,btc.poolbinance.com:1800,NCATX.042,bs.poolbinance.com:3333,NCATX.042,2026-04-14-0-912d084c-26.04-plus,BOSer boser-buildroot 0.1.0-912d084c,,DHCP,02:d4:60:9a:3c:c3
10.102.1.75,成功,Antminer S19 XP (BOS),低功耗模式,0.00 TH/s,0.00 TH/s,37.00° / 37.00° / 37.00°,1018 / 1018 / 1018 / 1048,1天 19小时 27分 34秒 ,sha256.poolbinance.com:443,NCATX.043,btc.poolbinance.com:1800,NCATX.043,bs.poolbinance.com:3333,NCATX.043,2026-02-13-0-db69f9bc-26.01-plus,BOSer boser-buildroot 0.1.0-db69f9bc,,DHCP,02:f2:2d:72:bd:fe
10.102.1.77,成功,Antminer S19 XP (BOS),低功耗模式,0.77 TH/s,1.69 TH/s,40.00° / 44.50° / 40.00°,3027 / 2158 / 2547 / 5694,1天 19小时 27分 29秒 ,sha256.poolbinance.com:443,NCATX.044,btc.poolbinance.com:1800,NCATX.044,bs.poolbinance.com:3333,NCATX.044,2026-04-14-0-912d084c-26.04-plus,BOSer boser-buildroot 0.1.0-912d084c,,DHCP,02:ce:f2:9f:8f:77
10.102.0.178,成功,Antminer S19 XP (BOS),低功耗模式,0.00 TH/s,0.00 TH/s,37.00° / 37.00° / 37.00°,1590 / 1470 / 1560 / 1560,1天 19小时 27分 43秒 ,sha256.poolbinance.com:443,NCATX.071,btc.poolbinance.com:1800,NCATX.071,bs.poolbinance.com:3333,NCATX.071,2026-04-14-0-912d084c-26.04-plus,BOSer boser-buildroot 0.1.0-912d084c,,DHCP,02:de:e6:aa:05:ca
10.102.0.213,成功,Antminer S19 XP (BOS),低功耗模式,44.65 TH/s,45.44 TH/s,40.00° / 73.00° / 43.50°,4019 / 4019 / 4109 / 4049,1天 19小时 27分 31秒 ,sha256.poolbinance.com:443,NCATX.099,btc.poolbinance.com:1800,NCATX.099,bs.poolbinance.com:3333,NCATX.099,2026-04-14-0-912d084c-26.04-plus,BOSer boser-buildroot 0.1.0-912d084c,,DHCP,02:7a:ad:60:d3:44
10.102.0.199,成功,Antminer S19 XP (BOS),低功耗模式,0.00 TH/s,0.00 TH/s,43.00° / 39.00° / 39.00°,2547 / 2517 / 2127,1天 19小时 27分 32秒 ,sha256.poolbinance.com:443,NCATX.101,btc.poolbinance.com:1800,NCATX.101,bs.poolbinance.com:3333,NCATX.101,2026-04-14-0-912d084c-26.04-plus,BOSer boser-buildroot 0.1.0-912d084c,,DHCP,02:68:e5:10:b3:c9
10.102.0.210,成功,Antminer S19 XP (BOS),低功耗模式,41.61 TH/s,44.35 TH/s,65.00° / 39.50° / 39.00°,6029 / 5819 / 5909 / 2069,1天 19小时 27分 22秒 ,sha256.poolbinance.com:443,NCATX.102,btc.poolbinance.com:1800,NCATX.102,bs.poolbinance.com:3333,NCATX.102,2026-04-14-0-912d084c-26.04-plus,BOSer boser-buildroot 0.1.0-912d084c,,DHCP,02:f4:14:f7:38:e7
10.102.0.198,成功,Antminer S19 XP (BOS),低功耗模式,0.00 TH/s,0.00 TH/s,39.00° / 39.00° / 43.00°,748485 / 2818 / 2578,1天 19小时 27分 50秒 ,sha256.poolbinance.com:443,NCATX.103,btc.poolbinance.com:1800,NCATX.103,bs.poolbinance.com:3333,NCATX.103,2026-04-14-0-912d084c-26.04-plus,BOSer boser-buildroot 0.1.0-912d084c,,DHCP,02:5e:32:90:a3:d0
10.102.0.191,成功,Antminer S19 XP (BOS),低功耗模式,4.59 TH/s,3.25 TH/s,40.50° / 41.00° / 44.50°,2698 / 2758,1天 19小时 27分 21秒 ,sha256.poolbinance.com:443,NCATX.110,btc.poolbinance.com:1800,NCATX.110,bs.poolbinance.com:3333,NCATX.110,2026-04-14-0-912d084c-26.04-plus,BOSer boser-buildroot 0.1.0-912d084c,,DHCP,02:6e:6a:83:fa:f0
